         24650899 function calls (24431755 primitive calls) in 35.117 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11215    0.014    0.000    0.083    0.000 lax_numpy.py:1473(_reduction_dims)
    75805    0.014    0.000    0.014    0.000 lax.py:5095(_check_user_dtype_supported)
     1000    0.014    0.000    0.024    0.000 <ipython-input-37-b6edb06478ee>:1(buzz_noise)
    77716    0.014    0.000    0.014    0.000 {built-in method builtins.iter}
    10484    0.012    0.000    0.012    0.000 {method 'update' of 'dict' objects}
    51151    0.012    0.000    0.012    0.000 {built-in method builtins.setattr}
    10214    0.012    0.000    1.628    0.000 lax.py:331(ge)
     2098    0.012    0.000    0.570    0.000 xla.py:456(_xla_call_impl)
     2000    0.011    0.000    6.050    0.003 scatter.py:22(_scatter_update)
    12214    0.011    0.000    0.011    0.000 lax_numpy.py:1133(<genexpr>)
     1001    0.011    0.000    0.924    0.001 <ipython-input-24-f046d7d983f1>:2(quad_loss)
    10214    0.011    0.000    0.200    0.000 lax_numpy.py:3466(_is_advanced_int_indexer)
    10308    0.010    0.000    0.451    0.000 <__array_function__ internals>:2(delete)
    10214    0.010    0.000    0.037    0.000 lax_numpy.py:3420(_eliminate_deprecated_list_indexing)
    10747    0.010    0.000    0.142    0.000 <__array_function__ internals>:2(all)
      252    0.010    0.000    0.019    0.000 std.py:310(format_meter)
     8211    0.010    0.000    1.325    0.000 lax.py:692(select)
    10325    0.010    0.000    0.031    0.000 <__array_function__ internals>:2(where)
    12216    0.009    0.000    0.048    0.000 xla.py:975(_device_put_impl)
     2000    0.009    0.000    0.314    0.000 lax.py:945(scatter)
    21264    0.009    0.000    0.014    0.000 masking.py:57(<lambda>)
    30882    0.009    0.000    0.009    0.000 {method 'pop' of 'dict' objects}
     8211    0.009    0.000    1.518    0.000 lax.py:343(lt)
    20428    0.009    0.000    0.024    0.000 abc.py:137(__instancecheck__)
    10221    0.009    0.000    0.015    0.000 {built-in method builtins.sum}
    10325    0.009    0.000    0.142    0.000 <__array_function__ internals>:2(amax)
        1    0.009    0.009    3.951    3.951 <ipython-input-25-96b2ee20a694>:2(__init__)
     2200    0.008    0.000    0.043    0.000 lax.py:2984(_transpose_impl)
      100    0.008    0.000    0.106    0.001 _solvers.py:531(solve_discrete_are)
      200    0.008    0.000    0.008    0.000 xla.py:967(force_fun)
     2202    0.008    0.000    0.097    0.000 lax_numpy.py:915(transpose)
     2200    0.008    0.000    0.014    0.000 lazy.py:132(transpose)
    10301    0.007    0.000    0.025    0.000 <__array_function__ internals>:2(can_cast)
     8211    0.007    0.000    0.054    0.000 lax_numpy.py:3228(_int)
    10214    0.007    0.000    0.007    0.000 {method 'insert' of 'list' objects}
     3997    0.007    0.000    0.617    0.000 lax_numpy.py:422(<lambda>)
     1000    0.007    0.000   17.248    0.017 <ipython-input-26-3b24df9ad389>:78(update)
     4196    0.007    0.000    0.008    0.000 core.py:593(new_sublevel)
    11608    0.007    0.000    0.007    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
     2098    0.006    0.000    0.191    0.000 linear_util.py:213(memoized_fun)
    20428    0.006    0.000    0.006    0.000 lax_numpy.py:3484(<genexpr>)
     2104    0.006    0.000    0.006    0.000 tree_util.py:57(tree_unflatten)
      100    0.006    0.000    0.013    0.000 _decomp_qz.py:268(ordqz)
    21048    0.006    0.000    0.006    0.000 lax.py:594(<lambda>)
     2097    0.006    0.000    0.010    0.000 linear_util.py:131(populate_stores)
     8207    0.006    0.000    0.008    0.000 xla.py:773(size)
     1001    0.006    0.000    0.088    0.000 lax.py:1056(_reduce_sum)
      300    0.006    0.000    0.006    0.000 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
    26563    0.006    0.000    0.006    0.000 {method 'items' of 'dict' objects}
     4198    0.005    0.000    0.012    0.000 linear_util.py:185(transformation_with_aux)
    12214    0.005    0.000    0.005    0.000 lax_numpy.py:1137(<listcomp>)
      100    0.005    0.000    0.032    0.000 _solvers.py:739(_are_validate_args)
     2101    0.005    0.000    0.006    0.000 contextlib.py:81(__init__)
     5203    0.005    0.000    0.007    0.000 linear_util.py:126(wrap)
     1001    0.005    0.000    0.012    0.000 api_util.py:75(argnums_partial)
    21817    0.005    0.000    0.005    0.000 multiarray.py:1043(copyto)
     3996    0.005    0.000    0.654    0.000 lax.py:285(mul)
     2000    0.005    0.000    6.054    0.003 scatter.py:246(index_update)
    21043    0.005    0.000    0.005    0.000 lax.py:2654(<genexpr>)
     8012    0.005    0.000    0.046    0.000 lax_numpy.py:3351(<genexpr>)
    21048    0.004    0.000    0.004    0.000 lax.py:595(<lambda>)
     2099    0.004    0.000    0.009    0.000 linear_util.py:198(wrap_init)
     3997    0.004    0.000    0.345    0.000 lax.py:281(sub)
     2099    0.004    0.000    0.032    0.000 api.py:1497(_check_args)
     1100    0.004    0.000    0.020    0.000 function_base.py:435(asarray_chkfinite)
     8392    0.004    0.000    0.006    0.000 linear_util.py:88(val)
      100    0.004    0.000    0.005    0.000 _decomp_qz.py:74(_qz)
    20643    0.004    0.000    0.004    0.000 {method 'issubset' of 'set' objects}
    10214    0.004    0.000    0.004    0.000 lax_numpy.py:3488(<genexpr>)
     2101    0.004    0.000    0.010    0.000 contextlib.py:116(__exit__)
     2000    0.004    0.000    0.020    0.000 lax.py:4926(_const)
     1001    0.004    0.000    0.167    0.000 std.py:1096(__iter__)
      400    0.004    0.000    0.004    0.000 twodim_base.py:154(eye)
    11624    0.004    0.000    0.004    0.000 xla.py:714(_check_if_deleted)
     2098    0.004    0.000    0.006    0.000 xla.py:567(<listcomp>)
     1000    0.004    0.000    0.286    0.000 lax_numpy.py:2886(roll)
    12214    0.004    0.000    0.004    0.000 lax_numpy.py:1134(<genexpr>)
     6192    0.004    0.000    0.026    0.000 api.py:1503(_valid_jaxtype)
     2098    0.004    0.000    0.125    0.000 xla.py:564(<listcomp>)
      600    0.003    0.000    0.010    0.000 linalg.py:2316(norm)
      900    0.003    0.000    0.023    0.000 _util.py:200(_asarray_validated)
     2098    0.003    0.000    0.005    0.000 api.py:202(_jit_is_disabled)
     7302    0.003    0.000    0.003    0.000 linear_util.py:116(__init__)
     2189    0.003    0.000    0.012    0.000 core.py:905(raise_to_shaped)
    10524    0.003    0.000    0.003    0.000 lax.py:4958(_canonicalize_precision)
    10325    0.003    0.000    0.003    0.000 multiarray.py:312(where)
     2098    0.003    0.000    0.004    0.000 weakref.py:484(setdefault)
      100    0.003    0.000    0.006    0.000 basic.py:1473(matrix_balance)
     2003    0.003    0.000    0.005    0.000 lax_numpy.py:3502(_static_idx)
     1011    0.003    0.000    0.022    0.000 iostream.py:197(schedule)
